ean:,nombre,precio,imagen_link
maizena,//Galletas De Navidad  Maizena Sabor Chocolate Y Vainilla 200Gr ,$3950,https://lh3.googleusercontent.com/galFz0Jl0EJ0aeIbFbUNu4QifQPX3uRRJadYPnF-QvfriJIfW0UWzG_Ha-zZZHrnYnF8j9p0f1KUVF-iYgpICVF6jmHSAW7JMEtXbzb7mQ6sBhG3=s650-rw
ponds,Crema Ponds S Humectante  24H Origen Natural X50g                       ,$9600,https://lh3.googleusercontent.com/EOhdxhqmfX57Le8m-ak8aBjbUC8PuKBAwI19AXH9Opwi12RF_yNzbtcuH3xgFb0zLKzVykG5sRmBuSeTjEinCaQ9_yJV6HZK8w=s650-rw
ponds,Crema Ponds Clarant B3  Aclaradora Filtro Uv X50g                       ,$11.970,https://lh3.googleusercontent.com/6F6wRtYABaI0x_rLf3eE268WeqcHn1bU3nMWwp-fPTyArC_IWpKaQ3ygT94T4uq3OmDaDQwkn-ZbU5yZ_jB5l6Scujwt-LwEF7lf=s650-rw
ponds,Crema Ponds  Byo-hydratante Humectante Extracto De Algodón X50g         ,$8600,https://lh3.googleusercontent.com/4AnCxBMJC4QHN1nnuWeH_Wwr7h5xY8PcbKARW53_cPLmyQDUzpExLGoOatt2GtEJycPPKsMrz6rQzcFUIVm6-TiIydcRIBlSrnM=s650-rw
ponds,Crema Ponds  Byo-hydratante Algodón X100g                               ,$10.430,https://lh3.googleusercontent.com/reE0680lj2zlJZGTqz0zaN9502uh3sdcMTPvU9Xwn1-Q-ltPnV3tLbcCf3LjKxIktjRGHDBEvxlkFHo1SncGjBeF3fcK2HykF62d=s650-rw
ponds,Crema Ponds Facial  Flawless Radiance Bb+ Fps 30 Pa+beigex25g       ,$22.800,https://lh3.googleusercontent.com/JvXc5H9YRdE0tZoThC--BBvaTnCf7fvC15fzJMRWu0Y_uSWRV8BINxzzROu3miFhfPb5eok-lgQPNycadgpTj4aaakw6VE1K0Q=s650-rw
ponds,Espuma Ponds Facial  Flawless Radiance X100g                            ,$17.820,https://lh3.googleusercontent.com/XbR9wdPY7Ltz6frCbmtApTq0Ny9XW5xe6IRRVXj-j6UAsDCYEtixfypZFUHq_HKsx1dxJHVUGBd4ZCV7PSoEWrrStxtI8tJJ2gg=s650-rw
ponds,Crema Ponds C Limpieza  Remueve Maquillaje Impurezas X95g               ,$15.330,https://lh3.googleusercontent.com/fMGSNTis2G_WJ0bIm_HqW8rdgObfv2gF57XMLzTxybsw4PJeP5AaQnVyLzP_hMGCG-D_VoyhnRH89-Ka8cTjryXbiuqLdYgG8Q=s650-rw
ponds,Crema Ponds H Humectante  20H Filtro Solar X100g                        ,$10.850,https://lh3.googleusercontent.com/XmSJUmIJWW5v00loTiucEjHxLUpR0cpz3VNa1IVXhzStnvI_9Ty-yevE8zsQQR0qrmknupP_-eH9bvyHe6HrFyxz7lW70JHOYQ=s650-rw
ponds,Crema Ponds Rejuveness  Contra Arrugas Colágeno Vitamina E X50g         ,$14.070,https://lh3.googleusercontent.com/9qS1qTiTdRhGf8yIFIvO06M3_9DsuV90N_kN5H6x6wfsM6_BGpcsb_TIvAzXYOE_3sAd00i_R0svLAB2e7hG1C1V9x25o5UlMrHy=s650-rw
ponds,Crema Ponds Facial  Flawless Radiance Bb+ Fps 30 Pa++ Light X25g        ,$21.180,https://lh3.googleusercontent.com/tBAvAi9hKOCHkj8kmHrAcYApw6zMZi45IOx62p2pm07uoHGxM2T3vSqVnUE4DjuZVdMbgvumwXeWNcZWXqYsR9_Nqre9NvpZkm8=s650-rw
ponds,Crema Ponds S Humectante 48H Origen Natural X200g                      ,$16.380,https://lh3.googleusercontent.com/2iXoVAOYimJjfC0BipCeBATkiGcC1INd7BVTzUAnwcnN99H6r-o7_HJQO61D_dSyRBksRfMu33qfBMLMjDvnxXToIObP_2LmxHw=s650-rw
ponds,Crema Ponds Clarant B3  Aclaradora Filtro Uv 8 Semanas X100g            ,$19.880,https://lh3.googleusercontent.com/-vw7tXUF2SPOBhJpwlInSQ1Zd0l_6P9sLxN8bD7hNA0Ev8CG__5tvgOkZZmpPVJUkkr5c-QC39rrEZvazzfh_CItsvQCIL9eTw=s650-rw
ponds,Crema Ponds C Extracto  De Pepino Remueve Maquillaje E Impurezas X195g  ,$24.430,https://lh3.googleusercontent.com/I1-RkNlde0f-Vizq384EvGuK6EJqx5RtDNsbt80c_dIhAD-6t84ochJlsBr3lFvAGZydeVekYumn2kXcXimeZ3Q81g2wDjL93Q=s650-rw
